streetAddress,zipcode,description,latitude,longitude,hasCooling,hasGarage,hasHeating,parkingSpaces,latestPrice,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories,pr_sqft
1701 Maize Bend Dr,78727,"Single story David Weekly: one of the most popular floor plans~Tons of counter space and cabinets. Very open floor plan~New carpet in all bedrooms, several new light fixtures, new door hardware~Hardwoods in den~New center island stove~Fresh paint in many rooms~Corner lot New water heater:2012~New AC unit:2016~Several new windows~Many built-ins,criwn molding~niches~New back French door with built-in shade~Very nice landscaped backyard with awning over back patio~Full sprinkler system~Close to Domain.",30.42626762,-97.68125916,1,0,1,0,369000,7690,2173,2,4,1,170
4609 Eagle Feather Dr,78735,"Situated on a generous sized lot with a sparkling in-ground pool = Wow Factor 10+! Tastefully updated & Meticulously cared for with Designer touches throughout. The open floor plan w/ high ceilings & natural light is perfect for entertaining. Chef's kitchen with top of the line stainless appliances. Minutes away from Regent's School, Barton Creek Greenbelt,Play Grounds,Tennis & Basketball courts,Duck Pond, Jogging/Biking Paths, Violet Crown trail ,2 TC pools, community garden, Downtown, Retail and Airport",30.24273109,-97.83098602,1,1,1,2,849500,10890,3070,3,4,2,277
13308 Bennington Ln,78753,"UPGRADES GALORE!! Remodel included: paint inside and out; remove popcorn ceiling; granite and stainless steel in kitchen; upstairs bath; new front door; new light fixtures and fans on first floor; and new carpet and window blinds. Master bath is like a spa. Gorgeous patio area includes custom sunscreen, 2 fans, multiple outlets (high & low) to allow for lighting and outdoor movies. Energy efficient tankless water heater, Nest thermostat, and walk-in attic. New HVAC 2013. 4 miles from Domain and minutes from major highways and shopping. A must-see!",30.40733528,-97.64958954,1,0,1,0,275000,6272,2398,3,4,2,115
7103 Anaqua Dr,78750,"1 story brick and siding home located in Jester Estate. Built in 1985 with approx. 2,391 sq. ft. of living area and on an approx. 10,267 sq. ft. lot with mature trees. This 4 bedroom 2 bath home features: Wood deck in rear, ceramic tile floor in the kitchen, large bedrooms, formal living and dining as well as an attached 2 car garage. TLC needed but is one you will want to see. Come take a look.",30.37693787,-97.79894257,1,0,1,0,462900,10280,2391,2,4,1,194
4428 Campo Verde Dr,78749,"This beautiful home features the popular 'Aspen' plan...was like the model home; very nicely kept with designer tile floors and recently installed high grade carpet in the bedrooms. Huge backyard with sprinkler system (front & back); large enough for a poool of your choice with room left over! Oversized deck to relax on and enjoy your yard; perhaps the best value in wonderful Sendera subdivision; no need to preview, it's that nice! *information provided by Spillar Oldmixon Advisors Realty",30.20015717,-97.85626221,1,0,1,0,419000,9888,2023,3,4,2,207
11610 Shoshone Dr,78759,"11610 Shoshone Dr, Austin, TX 78759 is a single family home that contains 1,651 sq ft and was built in 1973. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $530,041. The Rent Zestimate for this home is $2,095/mo. ",30.4124794,-97.73610687,1,1,1,2,489900,7187,1651,2,3,1,297
146 Big Meadow Rd,78737,"Open Floor Plan,  study, media room, large kitchen with an oversized island, opening family room, 3-car garage & extended covered patio.  large windows with lots of natural light, loads of counter space,aerobics luxury Amenities,   Sycamore Springs Elementary & Middle. Children attend same school until High School.Restrictions: Yes  Sprinkler Sys:Yes",30.16535759,-97.99450684,1,1,1,3,509900,13503.6,3327,3,4,1,153
2942 Eckert St,78722,"The 1100 square-foot house has hardwood floors throughout and a clean, modern interior that was completely redone in 2009. There are three spacious bedrooms, each with large windows, blinds, a closet, and a locking door. The kitchen has nice tile countertops, a gas stove, a Braun dishwasher, a large pantry, and a breakfast nook. There is also a bathroom and a large, comfortable living/dining room. All systems are in good shape; the air conditioning and ducts were replaced last year.

The backyard offers privacy with a six-foot tall cedar fence and a stainless steel barbecue you are welcome to use. Just outside the back door is a covered porch containing the washer, dryer, and some additional storage space.

The house is in a diverse and friendly neighborhood made up of families, grad students, and young folks, with easy access by foot, bike, car, and public transportation to all the restaurants, shopping, and culture that are making people want to live on the East side. 

If you're interested in speaking more about the house or coming by, please get in touch with Chris, the owner, or see the website at 2942eckert.com.",30.28376961,-97.70568085,1,1,1,3,415000,6342,1100,1,3,1,377
11100 Aliso Ln,78726,"Don't miss this beautiful custom-built home in the Woods- a gated, 25-home Modern European Farmhouse concept community in the heart of Four Points! This lovely two-story features a spacious open floor plan complete with exceptional finish out and energy-efficient features. Plenty of room to entertain in this thoughtfully designed home with an inviting family room and beautiful gourmet island kitchen with designer stainless steel appliances. Retreat to the fabulous master suite with double-vanity bath, seamless glass shower and huge walk-in closet. Home opens to a covered patio for outdoor enjoyment. Surrounded by nature preserve and conveniently located near 2222 and 620 with easy access to Lake Travis/Lake Austin, shops and restaurants. Zoned for the top-rated Leander ISD and Vandegrift HS. For more information and ""doll-house effect"" virtual walkthrough, visit www.woodsfourpoints.com. *Plan 2, To Be Built*",30.40932846,-97.84246063,1,1,1,2,552000,7623,2601,4,4,1,212
2101 Klattenhoff Dr,78728,"Large rooms, open floor plan, updated kitchen and baths. Dramatic vaulted ceilings with lots of natural light. Huge master BR. 3 large closets (2 walk-in) Master bath updated with dramatic walk-in shower and double vanity, Private covered patio overlooking fenced yard and huge mature trees. Best lot in Wells Branch. Across from Katherine Fletcher Park. Miles of hiking trails. 2 pools, soccer fields, lighted tennis and basketball courts. Duck Pond. Large children's play area and community center.",30.44168472,-97.67943573,1,1,1,3,369000,9801,2290,2,3,1,161
1606 Chippeway Ln,78745,"This 3B/2B South Austin charmer has it all! Kitchen is open to the family, has a cozy breakfast nook, stainless steel appliances, and unique artistic backsplash for that perfect Austin touch. The homey family room boasts a large, wood-burning & gas fireplace and sliding glass door opens to shaded, private backyard with expansive wood deck (that extends to the entire back width of house??). A good-sized master with ensuite, no carpet, and updated bathrooms. Easy access to William Cannon, Menchaca, and South 1st.",30.20664978,-97.79763031,1,1,1,1,299000,8189,1178,2,3,1,254
214 Brentwood Dr,78737,GREEN BELT HOME SITE!  Stunning wide entry with high tray ceiling! Open great room with volume ceiling! Inviting fireplace.  Beautiful Stainless kitchen with upgraded finish!  Giant pantry.  Nice separation of Master and secondary bedrooms.  Gorgeous Master Bath with large dual closets!  Very popular signature plan!  Estimated completion Fall 2018,30.18695259,-97.98947144,1,0,1,0,469000,9801,2838,3,4,1,165
7016 Crestone Rd,78744,"7016 Crestone Rd, Austin, TX 78744 is a single family home that contains 1,220 sq ft and was built in 2013. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $269,270. The Rent Zestimate for this home is $1,750/mo. ",30.19899178,-97.70149231,1,0,1,0,219900,4312,1220,2,3,1,180
6010 Long Champ Ct APT 104,78746,"6010 Long Champ Ct APT 104, Austin, TX 78746 is a condo home that contains 2,038 sq ft and was built in 1985. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $666,815. The Rent Zestimate for this home is $3,100/mo. ",30.33575439,-97.8030777,1,0,1,0,400000,7840,2038,3,3,2,196
13134 Halsell Dr,78732,Guest Accommodations: Yes  Sprinkler Sys:Yes,30.3800869,-97.89838409,1,1,1,2,598500,13068,3528,3,5,2,170
5105 Star Light Ter,78721,"NOW PRICED TO SELL! Charming home in hot East Austin neighborhood fully renovated with custom touches throughout. 2br/1ba, open layout, all new SS appliances, quartz countertops & unique, encaustic tiling in bathroom. Built in hallway book shelf is original to home. Spacious back yard w/ cedar deck perfect for entertaining w/ additional storage space in shed. Cedar siding adds a modern touch to the exterior, complete w/ carport. Live minutes to downtown & bike to all Springdale General has to offer!",30.27368736,-97.68491364,1,1,1,1,299900,6359,720,1,2,1,417
1815 Polo Rd,78703,"Luxury meets convenience ~ Modern open floorplan on corner lot ~ Abundant natural lighting throughout ~ Well-appointed gourmet kitchen with stainless steel Viking appliances & quartz silestone counters ~ Master suite on main level  ~ Second open living on upstairs level ~ First floor living room has sliding doors that lead to the outdoor deck area with fenced yard and towering shade trees ~ Fantastic neighborhood just minutes to downtown, UT, hike and bike trail, ACL and Zilker Park",30.28845406,-97.76086426,1,1,1,2,1550000,6982,2772,5,4,2,559
7212 Garnet Mill Ln,78744,"Lovely cul-de-sac home with features tons of upgrades Kitchen has huge island with pendant lighting, granite counters, SS appliances & breakfast area. Master offers a sitting alcove, perfect for workout space or nursery. His and hers vanities, soaking tub, walking shower & spacious walk-in closet complete the master. French doors lead to a private home office.  Screened patio overlooks the large back yard! Bryant Park is close by and include a pavilion, park, walking trails with hammocks along the way!",30.16147995,-97.72125244,1,1,1,2,399900,8537,2629,3,3,1,152
10607 Denell Cir,78753,"This renovated modern farmhouse home greets you with lots of natural light and an open floor plan. Upon walking in you are greeted with a formal dining area situated next to a rare to find double fireplace. The kitchen features white quartz countertops, new cabinets, a large island with additional bar seating and ample cabinet storage. The cozy living area provides high ceilings, cedar beams, built in bookshelves, and shiplap/brick fireplace perfect for a gathering area with friends & family. The master suite has a huge walk-in shower, big closet and amazing tile like you have never seen! Unlimited amount of upgrades throughout ~ new roof, windows, fixtures, shaker doors, cabinetry, vinyl-plank waterproof white oak flooring, new HVAC, drought resistance newly installed landscaping. Our favorite neighborhood amenities is you are within walking distances from the Applegate Duck Pond. This home is a must see! Reach out to @angelinaashtonrealtortoday to schedule your showing!",30.36714172,-97.67382813,1,0,1,0,399900,10323,1630,2,4,1,245
6885 Auckland Dr,78749,"6885 Auckland Dr, Austin, TX 78749 is a single family home that contains 1,682 sq ft and was built in 1995. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $430,932. The Rent Zestimate for this home is $2,250/mo. ",30.21043015,-97.88902283,1,1,1,2,375000,7492,1682,2,3,1,223
9512 Southwick Dr,78724,"Charming 3 bedroom, 2 bathroom home in coveted Woodlands neighborhood, with easy access to FM 969 and HWY 183. Home boasts an impressive entrance with large entertainment/living area with an open floor plan that combines the kitchen, dining, and living room. Recently updated flooring and paint throughout home. Washer/dryer and alarm system will not convey with property. Please call 30 minutes before showing property.",30.27737617,-97.6243515,1,1,1,2,239000,4617,1510,2,3,1,158
1313 Kenwood Ave,78704,"Beautiful, contemporary craftsman home custom-built 2014. Designed by architect, Michael Antenorra, built by Hinckley Construction. Open plan main floor living with sightless to the kitchen-dining room-family room-living room + French doors to the patio off kitchen. 3 living spaces. Giant natural stone and butcher block island. High-end stainless steel appliances. Commercial grade stove. Locally sourced hardwood floors in living area and cabinets kitchen. Wall of windows leads to main floor master at back of the home. Wood-burning fireplace features raw wood mantle cut from trees off baseball great, Nolan Ryan's farm. 2nd floor living area + craft room with drop-down table. Room for small pool or carport-ask to see original architectural drawings. Kenwood is a quiet street with no thru traffic. Community has tennis courts, walking trails, pool, kids wading pool+baseball diamond. 5 min walk to Ladybird Lake hike/bike trail, 10 min walk to S. Congress, 10 min to airport. A must-see!",30.24656105,-97.73786926,1,1,1,2,1245000,7884,2474,3,3,2,503
10812 Pall Mall Dr,78748,"One story home in Bauerle Ranch Community! Instantly notice the soaring ceilings + large windows that flood the home with natural light. The kitchen offers tile back-splash, an abundance of cabinet space, + a spacious pantry/laundry combo.Â The Master Suite holds a large garden tub, double vanity, + walk-in closet! The private backyard offers a covered extended, partial covered patio. W/ over 300 acres of Greenbelt surrounding this community, you get Austin City living w/ hill country feels.",30.16877937,-97.84564209,1,1,1,2,349000,7579,1826,2,3,1,191
1210 Collinwood West Dr,78753,"1210 Collinwood West Dr, Austin, TX 78753 is a single family home that contains 1,813 sq ft and was built in 1986. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $369,070. The Rent Zestimate for this home is $1,895/mo. ",30.36913681,-97.66958618,1,1,1,4,325000,7623,1813,2,3,1,179
4205 Alexandria Dr,78749,"Wonderful Contemporary 3/2.5 home built in 2018 has a VERY bright and open floor plan with master down and 2 bedrooms and bath up.  Lots of Windows! Beautiful high end finishes! Quartz countertops, custom cabinets, designer lighting, hardwood floors, modern tile. Peaceful private backyard with covered patio, 8' horizontal cedar fence, professional landscaping and a scenic  open sky, tree-lined view! Phenomenal location in Maple Run! Minutes to HEB, Whole Foods, Violet Crown trail and Mopac. Upgraded appliances and huge garage!",30.20368385,-97.84882355,1,0,1,0,379000,6229,1463,3,3,2,259
10913 Casitas Dr,78717,"Highly sought after Avery Ranch single story home less than 10mins (2.4 miles) from CapMetro's Lakeline Lightrail Station, easy access to Domain, Apple, Dell and so much more! Leander ISD schools are sure to impress too! This amazingly well maintained home features 4 bedrooms, 2 living and 2 dining areas. 4th bedroom is conveniently connected to the Master Suite by French doors for lots of flexibility ~ study, exercise room, nursery, etc. Backyard faces east for morning sun and cool/shaded evenings. Don't miss the lovely Avery Ranch golf course and access to Brushy Creek trail system in addition to the Avery Ranch HOA pools, parks and amenities! You'll be amazed at all the area has to offer!",30.50011253,-97.77853394,1,0,1,0,350000,5749,1980,2,4,1,177
6203 Stiles Cv,78721,"6203 Stiles Cv, Austin, TX 78721 is a single family home that contains 1,132 sq ft and was built in 1969. It contains 2 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $362,619. The Rent Zestimate for this home is $1,800/mo. ",30.26150131,-97.6784668,1,1,1,2,315000,6098,1132,2,2,1,278
10005 Anahuac Trl,78747,"Welcome home! You'll find yourself at ease in this gorgeous house with soaring ceilings and tons of natural light. The kitchen is perfect for entertaining with granite counters & island, giving ample area for prep. Stainless steel gas range, a plethora of storage, bright breakfast room overlooks the patio & big backyard. Spacious Master with reading nook. Walking distance to park & playground. Easy access to I35, you can be downtown in 10 minutes. Great shopping & dining nearby.",30.15560532,-97.78770447,1,1,1,2,309900,6229,2364,3,4,2,131
1421 Anise Dr,78741,"One of the hottest neighborhoods in Austin with easy access to ABIA, IH 35, Ben White and Downtown! Well maintained 2 story home with super floor plan. Spacious kitchen with tons of natural light, breakfast bar and dining, great for entertaining or family gatherings. Bedroom/full bath down, Upstairs has Bonus/Play room and spacious laundry room. Brand new Vinyl flooring! 2 Car garage, Large back yard. Great house for a great price in Austin!",30.2245388,-97.69272614,1,1,1,2,320000,4399,2128,3,4,2,150
2201 Pasadena Dr,78757,"Seller is forgoing redeveloping property & this classic Crestview midcentury is being offered as-is. A remodel opportunity is awaiting the right buyer to make it shine. Previous owner upgrades: New roof Oct 2019, double pane windows, in-ground irrigation, & programmable t-stat. Enclosed garage w/automatic opener. Covered rear patio looks over a deep backyard shaded by mature pecan trees. Inside, carpet & vinyl flooring was removed to expose hardwood floors. Prime location off Burnet Rd near Anderson!",30.34847832,-97.73343658,1,1,1,1,469000,10323,1539,1,2,1,305
11411 Pollyanna Ave,78753,"Completely renovated, modern design house on an enormous lot. There are several big, old-growth oaks around the house. Centrally located in Austin... minutes from the Domain and downtown. Easy access to Braker Lane and I-35. Live in the amazingness that is Austin, Texas and be where you need to be in no time flat!",30.37996674,-97.67596436,1,1,1,1,410000,11761.2,1660,2,3,1,247
4801 Summerset Trl,78749,"This rare and utterly remarkable one story is in the heart of established southwest Austin. Sellers are immaculate. Natural colors, flooring, and relaxing style. Eco friendly paint, mosaic travertine, skylamps, and positive energy absolutely everywhere. Nature fills the back yard, creating a sort of preserve, complete with fully screened gazebo. HVAC replaced 2002. Roof replaced in 2003.Three bedrooms, plus an office with french doors. Pella windows, travertine, hand scraped bamboo. Come and see!",30.22862816,-97.84238434,1,0,1,0,449900,7971,1724,2,3,1,261
6304 Blarwood Dr,78745,"Beautifully updated 4 bed, 2 bath home on a large lot in Garrison Park. The custom kitchen featuring quartz counters is open to the living room. Luxury vinyl floors throughout, new windows, life time warranty on the foundation and new water heater are just a few of the main features. Large laundry/mud room offers plenty of storage. Close to everything--Central Market, restaurants and parks. Don't miss seeing this one, it will go fast!",30.2131443,-97.81352997,1,1,1,2,300000,10890,1419,2,4,1,211
1322 Neans Dr,78758,"1322 Neans Dr, Austin, TX 78758 is a single family home that contains 1,657 sq ft and was built in 1974. It contains 4 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $525,353. The Rent Zestimate for this home is $2,200/mo. ",30.37525558,-97.70217133,1,0,1,0,435000,13503.6,1657,2,4,1,263
3707 Hidden Holw,78731,"3707 Hidden Holw, Austin, TX 78731 is a single family home that contains 2,576 sq ft and was built in 1973. It contains 4 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $784,900. The Rent Zestimate for this home is $2,850/mo. ",30.36143494,-97.753685,1,1,1,2,720000,16117.2,2576,2,4,1,280
6102 Smith Oak Trl,78749,"In desirable, WESTCREEK neighborhood, with incredibly easy access to HWY 290 and Mopac. Immaculate remodel with a bright, sunny kitchen, shaker style cabinets, quartz counters, matte black fixtures, large picture windows and stunning engineered white oak hardwood floors. Centrally located just 15 minutes to downtown Austin! MUST SEE!",30.23282814,-97.84900665,1,1,1,2,555000,8755,2348,3,4,2,236
9306 Privet Dr #19,78748,"Beautiful home in the desirable Searight Village community.  Soaring ceilings, wood floors, ample and open kitchen and dining area with center island. Granite countertops, farmhouse sink and recessed lighting in the kitchen. Deluxe master bedroom downstairs with walk in shower and walk in closet. Large gameroom and two bedrooms and bath upstairs. Established landscaping, sprinkler system and private backyard and is located next to the community dog park. *HOA maintains the front and back yard* Popular Milestone Guadalupe plan just minutes from downtown, right next to 344 acre Mary Moore Searight Park and minutes from Southpark Meadows.",30.17291832,-97.80962372,1,0,1,0,324900,5575,1888,3,3,2,172
6624 Nusser Ln,78739,"4 bedrooms PLUS office/playroom, 2.5 bath with tons of upgrades! Master Suite on main floor. Renovated kitchen. Plantation shutters. Hardwood floors. Brick fireplace. Vaulted ceilings in living area. Tons of storage. Recent AC. Vivint home security system includes doorbell and outside cameras, keypad entrances, and smart thermostats. Landscaped yard backs to greenbelt with private access. Detached 2 car garage with deck, patio and gated, flat driveway. New fences. Zoned for Clayton, Gorzycki, and Bowie!",30.19246864,-97.89658356,1,0,1,0,349000,8232,2799,3,4,2,125
7208 Brick Slope Path,78744,"7208 Brick Slope Path, Austin, TX 78744 is a single family home that contains 1,844 sq ft and was built in 2015. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $383,166. The Rent Zestimate for this home is $2,050/mo. ",30.16329002,-97.72315216,1,1,1,3,349900,6272,1844,3,3,2,190
2206 Melissa Oaks Ln,78744,"Beautiful home w/ tons of curb appeal in the highly desirable Crossing at Onion Creek! Features include gorgeous hardwood & tile flooring throughout, open floor plan w/ tons of windows allowing for plenty of natural lighting, large upstairs bonus room, & oversized master suite w/ garden tub & walk-in shower. Covered front & back porch are perfect for relaxing or entertaining. Fantastic location, loads of local shopping & eateries, & just 9 miles to UT & tons of great downtown locations!",30.15849686,-97.77933502,1,0,1,0,249900,3833,1845,3,3,1,135
10635 Marshitahs Way,78748,"Well-maintained 3 bedroom, 1 bath home  located within walking distance of numerous restaurants, grocery stores, entertainment venues, and other amenities. The main living area, complete with upgraded laminate wood floors, has a wide galley style kitchen & large breakfast area which opens to the living room. Recently renovated kitchen with granite countertops, pantry, and stainless steel appliances. French doors from the breakfast area lead to the spacious back yard with a sizable storage shed & expanded covered patio. Master bedroom boasts dual closets & has good natural light. Secondary bedrooms flank the shared bathroom & utility room for ease of use. Bathroom recently renovated with custom spa-style shower, tile floors, and granite counters.  Neighborhood features a park with access to hiking trails. ",30.16049194,-97.82569122,1,1,1,3,230000,4398,1074,1,3,2,214
5601 Clyde Ln,78754,"One-level, all brick home on corner lot! Hard tile floors on the diagonal throughout most of the home with carpet in the bedrooms. Formal living room flows into the large great room, perfect for entertaining. Kitchen with stainless steel appliances and a window over the sink. Master suite features a spacious bedroom with double vanities and garden tub in the bathroom. Corner lot offers fenced yard space at the back and side of the home.",30.37182236,-97.6140976,1,0,1,0,189000,5749,1341,2,3,1,141
4713 Louis Ave,78721,"4713 Louis Ave, Austin, TX 78721 is a single family home that contains 884 sq ft and was built in 1953. It contains 2 bedrooms and 1 bathroom. 
 
The Zestimate for this house is $391,023. The Rent Zestimate for this home is $1,750/mo. ",30.27561188,-97.68713379,1,0,1,0,329000,6577,884,1,2,1,372
15313 Interlachen Dr,78717,"Rare “Signature Series” Meritage home with one of the larger lots in the Enclave. Easy walking distance to the Main Amenity Center with lap swimming pool and tennis courts, restaurants, shops and Summer Moon coffee. Unique Mediterranean tile roof makes this one of the most eye-catching homes in the neighborhood. 5 bedrooms plus a dedicated office with French doors, formal living and dining, owner’s retreat downstairs. Huge 5th bedroom can be a media room. Upgrades include 2 new HVACs, refreshed paint and new carpet. Large kitchen peninsula with granite countertops that opens to the family room. Formal living and dining area in front is great for entertaining and buyers who need more space to spread out! Large game room, 4 oversized bedrooms, 2 full bathrooms upstairs. Enjoy the covered patio and the larger lot size in the back. HOA maintains front and side lawns. 

This home is professionally listed by Eric Peterson with Kopa Real Estate. Call 512-791-7473 for more information.",30.49809647,-97.77033234,1,1,1,2,529900,5749,3845,4,5,2,138
11607 Eubank Dr,78758,"LOCATION!LOCATION!LOCATION! Nice Home near Domain/Restaurants, new Soccer Stadium under construction,Top Golf, Shopping Centers, ACC , so much more! New Laminate floors just installed in BRs & no popcorn ceilings!New Microwave & new light installed in 2nd Bathroom.Hand scraped Engineered Wood in living room.Patio is enclosed, Backyard backs up to Creek,no neighbors in back! Big Laundry room & sink in garage. Easy access to Braker & Lamar. Home is ready for move in. Bring your clients out!!",30.38694763,-97.68712616,1,1,1,2,360000,11761.2,1791,2,3,1,201
12901 Muldoon Dr,78729,"This quality built, Milwood home has beautiful curb appeal and is located on a partial culdesac. Features include 4 bedrooms (all upstairs), 2 living areas, master with walk-in closet, double vanities, separate shower, & garden tub, living room with high ceilings, fireplace with mantel, ceiling fans, 2 inch faux wood blinds, open kitchen to family room, new refrigerator (1 year old), washer and dryer, solar screens, Hardi exterior siding, huge backyard deck with hot tub and covered area, large yard with beautiful oaks, sprinkler system, storage shed, gutters, full garage mat & insulated garage doors.  Great Round Rock ISD schools!  Ratan Creek Park is only 1/2 mile away and includes community pool, tennis, play ground, trails and picnic area.",30.44402122,-97.75474548,1,0,1,0,315000,8537,2162,3,4,2,146
6037 Mesa Verde Cir,78749,"Must see! 3 bedroom, 2.5 bath home in established neighborhood. Many upgrades including built-ins, new floors, contemporary colors, extra-large master, and large backyard. 1900+ sq ft open floor plan includes 2 living areas and perfect layout for families. Within walking distance from Mills Elementary and close to restaurants, shopping, community trails, and park. Very accessible to major thorough fare (Mo-Pac). All new stainless appliances including refrigerator w/ ice maker, dishwasher, oven, and microwave.",30.20918274,-97.87365723,1,1,1,4,375000,6969,1932,3,3,2,194
3608 Holt Dr,78749,"Updated Home on Greenbelt in quickly appreciating Wheeler Creek. Move in ready with tons of updates, Back yard yard overlooks a creek/greenbelt/hike and bike trail. Watch the creek roll from the deck when it rains, hike the trail in the evenings, watch the deer from the living room in the fall. Modern feel inside with the Hill Country in your backyard. Quartz Countertops, New AC, Tesla Charger in Garage. Owner-AgentRestrictions: Yes",30.20957947,-97.83625031,1,1,1,2,399900,10280,1501,2,3,1,266
